9348,46018
10310,45496
11124,44820
11844,44083
12751,42762
13204,41718
13713,40028
13925,38032
13925,35820
14018,34438
14527,30506
15188,28232
15882,26696
16454,25806
17144,24976
18677,23594
21864,21597
23367,20859
25590,19384
29287,15696
29947,14897
31812,12316
33821,9150
34543,7676
34542,6938
34331,6416
33941,6048
26603,245
26095,0
25432,92
24323,461
23422,1045
22310,2151
21709,3042
21049,4578
19789,9954
18977,12105
17504,14316
15641,16159
13868,17327
11790,18217
10677,18586
9204,19323
7400,20489
2288,24972
1176,28166
0,33326
1169,39962
1770,40823
3904,43865
5017,44972
6369,45863
7391,46294
8144,46294
