6459,52293
7754,52540
9416,53124
10340,53739
15607,57610
16747,58747
18720,61419
23460,68085
23984,68975
25955,78832
26046,80275
33811,88077
42194,94311
56837,110003
57052,110525
56991,112674
57116,113349
57516,113718
58040,114025
58563,114178
59890,114485
60568,114332
61555,113963
63775,113134
67291,111230
68122,110554
77433,102385
78787,100696
79034,100174
85624,77144
85096,68516
84388,68669
83618,68578
83093,68363
82724,68056
82047,67074
81429,64034
81058,61608
79914,52213
77262,39717
76553,38949
75967,38028
75721,36739
75875,35388
76029,34774
76551,33791
76952,33330
83604,27893
84434,27279
85575,26910
86960,26848
89763,26755
91211,26693
94353,26077
96168,25554
98079,24478
98847,23649
99464,22819
102399,17387
98444,18368
98290,17754
99213,16402
104969,9305
111584,2208
111954,1808
112046,1286
111737,856
111213,611
109458,90
108010,0
106040,308
104809,616
101391,1754
96313,3477
95266,3938
92741,5229
90770,6274
71157,18501
68971,20098
65490,22739
63335,24398
62134,25472
59763,27653
55203,32166
53787,33763
52030,35789
51044,37079
49905,38215
48150,39504
47163,40026
22820,50582
21619,50889
20941,50981
11976,52112
10588,51190
9387,50883
7261,50728
4980,50726
728,51031
0,51124
