72722,151924
72861,151247
75092,144783
75372,144259
76043,143397
76519,143119
78535,141330
81778,137199
82449,136336
82644,135905
86598,126543
86651,125774
86958,107902
86864,104549
86750,103934
85792,101876
85949,98462
85975,97877
85778,97324
84909,96650
83956,96068
83424,95793
82669,95765
81439,95983
79425,96143
77551,95655
76571,95073
76318,94582
76120,94029
76147,93290
76309,91075
77003,85251
77401,80952
77372,80245
77061,79077
76191,76987
75938,76496
75658,76035
74679,75422
74063,74562
72829,72043
72436,70936
72407,70260
72600,69675
72879,69151
74303,66800
73589,62782
73784,62197
74394,60627
75285,60010
75898,59885
77850,59634
79020,59324
79743,58522
83931,50850
84469,44634
84546,42450
84458,41220
82303,28183
81911,27108
81547,26709
76559,23185
75528,22665
74916,22451
73636,22146
72941,22179
66403,22575
66100,22438
64791,21456
64067,20626
59720,12973
59441,12481
59412,11804
59437,8912
59685,7558
59628,6175
59433,5621
59154,5160
58265,4484
56431,3225
55541,2703
50486,92
49819,0
49181,92
48626,308
42240,3324
29290,11530
28900,11867
28372,12913
24859,20845
20000,32311
19831,32895
19772,34956
20160,36034
20605,36373
21238,36491
21969,36467
22247,36929
22551,38099
22522,38868
21265,41511
20874,41880
20233,42002
19955,41509
19818,40217
19541,39724
18818,38923
17956,38275
17316,38366
15417,40916
15082,41376
14828,42729
14775,46800
14400,47127
13869,48141
13756,48849
13745,54016
13939,54571
14216,55033
16217,58298
16662,58606
17276,58515
20038,57536
22020,56524
22522,56771
20507,60982
19752,61780
15650,62511
7646,62030
8223,65107
9122,73631
9338,76307
9002,76737
8527,77013
7912,77134
7242,77009
6880,76608
6408,75592
5633,73406
3856,69925
3327,69677
2712,69798
1144,71301
499,72160
218,72682
21,73297
0,79910
248,98213
300,99598
752,107074
1352,112305
1477,113350
4942,119759
5526,121391
9662,137273
10435,142043
11260,149765
11202,150533
11004,151117
10551,152223
10071,153037
8945,154588
8551,154925
7748,155388
11024,161636
11511,162437
21721,174483
22452,174668
36090,176904
42506,173884
43350,173208
44952,171701
46077,170563
46600,169726
46302,169240
46105,168686
46555,167579
47117,167395
52260,165731
58051,166249
59908,168031
60190,168492
59462,171722
59041,172092
58422,172216
58029,172554
58200,174553
58398,175076
58932,175352
59382,175229
61490,173534
62304,172826
68730,165465
69067,165034
72830,154125
