50016,25850
55105,18818
57479,16607
57850,16238
58466,15317
58929,14273
59607,11939
59760,9820
59667,7026
59389,6566
56797,2944
55409,2023
54422,1409
53805,1256
35021,0
29099,2395
24533,8904
22317,12526
22405,13294
22250,18575
21787,22812
21694,23488
21478,24010
18053,31747
17528,32729
16386,33835
15831,34080
14474,34234
13270,33926
12191,33466
10895,33250
5279,33403
4724,33618
3736,34907
2841,36258
1143,40648
772,41784
463,42981
0,46021
0,46788
92,47464
554,49122
2435,54035
3361,55417
4256,56001
6416,56922
8144,57445
28327,62513
28944,62666
29684,62666
30549,61991
38294,50937
38911,50047
39281,48911
39528,47621
42027,40590
48042,29167
49090,27202
