49432,57378
52687,54554
53186,54275
54027,53992
55543,52815
56847,41810
56825,41470
56664,41194
53766,41208
50010,41471
47548,40492
42184,37111
41810,36335
37445,33538
37085,33138
35926,31657
31693,25824
31533,25577
29201,20945
28484,18722
27251,14058
27212,13718
27610,10167
28305,7325
28464,6707
28760,6051
27730,5595
21579,2564
21381,2379
21203,1792
21037,108
20730,0
20154,91
17475,1198
16998,1506
11402,8441
11242,8656
11041,9243
10776,11280
10775,11651
7257,21676
4159,24381
3160,24901
2960,25085
2678,25578
999,30481
0,38536
856,42957
954,43236
1153,43422
2172,43551
3987,44578
9663,51395
10143,52490
11786,57733
11859,60204
9144,67854
7307,70225
7046,70348
5142,70798
5293,71483
5412,71762
7352,74240
8553,75696
17411,81558
17673,81590
25586,81074
25868,80951
27580,79222
27720,79005
27902,78017
27942,77276
28022,76999
30335,75423
30999,75331
35664,74924
36388,74985
36939,75185
40961,78436
42815,79265
45270,80344
45304,77034
44836,72955
