64732,37084
65120,35881
65195,35512
64102,19538
63861,17996
63627,17474
63185,16824
56460,14783
51195,6973
50933,6450
49965,5035
49207,4297
44874,2672
44091,2487
43856,2488
41561,3167
40544,3353
39005,3416
37778,3263
36499,2955
35482,2525
30787,0
28100,2093
19954,7259
18752,8396
18490,8766
17469,10981
16551,13412
15657,16829
15525,18060
15758,19385
15652,20246
13718,33853
13456,34190
9195,43573
9818,45853
11712,54540
11838,57434
11201,62170
9935,63988
7885,75899
7825,79317
8348,79965
9110,80274
12422,80466
14473,80254
21331,79061
25566,81284
30927,88275
26876,88736
26112,88950
20293,92886
11199,99675
9668,101181
7366,104498
6628,105453
6363,106006
6123,106930
5880,109392
6290,113857
6049,115550
5783,116442
5543,117057
5039,117979
2495,122160
718,124771
0,126493
48,127971
309,128957
571,129512
1098,130253
1861,131055
2625,131735
3628,132323
4658,132572
5925,132544
24158,131282
31052,129839
32822,129438
33853,128823
35621,126667
46463,118069
47465,117390
48622,116846
49494,116525
53082,116026
54611,116023
56419,116254
56503,112694
56837,109060
57485,104441
58266,100251
60905,92486
62088,89903
63624,86932
63702,86444
63025,79549
61731,68314
60845,61050
60582,60836
60503,60651
60449,60435
59887,55973
63818,38011
