186215,71753
186893,72550
187956,73068
188632,73158
194667,73565
214123,73629
218768,72498
223144,70907
227809,68176
226402,64065
223834,58063
222076,53024
221599,52013
220142,48977
214897,41075
212424,39981
210774,39282
210186,39101
202511,37724
194603,36406
192692,35922
183280,33100
181278,31693
176592,28317
174954,28610
174398,28673
168199,28138
167700,27709
167405,27249
165782,24334
160604,19676
156194,16397
150996,14226
141281,12367
140606,12245
139286,12432
138040,12865
130779,12841
128548,11183
127667,10538
126025,9863
119453,7930
118749,7807
111739,7162
111066,7193
109333,7715
108953,7930
102148,7374
96547,6325
95922,5980
94671,5094
94085,4909
86258,3762
85641,3730
82327,3786
81652,3816
80625,4306
80185,4428
77633,4854
72504,4045
71301,3704
67523,1972
55506,97
53952,0
52046,301
47996,1455
46379,2894
39609,8924
38029,7812
37092,7685
17643,7658
17027,7778
4066,17114
3682,17481
3474,18064
3049,20489
3348,24549
955,27178
303,28066
125,28495
4,29017
0,29785
465,30803
1223,31606
3416,33217
3944,33497
12624,36126
14268,36595
14884,36752
15501,36633
17680,35844
18943,35574
25908,35238
28727,35312
31664,35448
33453,36008
34772,37059
35064,37521
41575,48211
42714,50090
43270,51015
43540,51719
44434,54276
44873,54616
46166,54897
49576,55462
52340,55286
53105,55319
55189,56340
55629,56648
56274,57542
56887,59172
58459,64709
60858,69787
61239,70187
61679,70495
67143,74289
67615,74598
69057,74755
80713,73979
85305,73429
90364,75591
91570,75960
93041,75962
93661,75840
94190,75625
97017,73937
97577,73753
101638,73418
103367,74287
108318,77632
120036,87957
121273,89002
122274,89585
125987,91304
127459,91457
128079,91334
129168,90934
130670,90164
131553,89518
132112,88565
132052,88042
131875,87489
130635,84694
130253,84294
129722,84326
124775,82270
129390,73355
129684,72924
131330,71294
133448,69848
134537,69447
136800,69014
139508,69472
140128,69625
141245,70084
141687,70391
144756,75058
150115,76769
150792,76738
152821,75750
153320,75473
153703,75134
154377,74241
156488,70180
161407,59770
162640,59286
163317,59254
164436,59681
165260,60417
166406,61518
172147,61903
173266,62330
174151,63004
174446,63464
177745,64714
181552,65613
