4144,41590
4760,41253
6020,40085
6242,39002
6667,38011
17891,25204
18307,24803
20299,24247
22878,23689
24131,23535
25164,23844
25618,24151
25994,24678
26530,24801
30295,23115
36540,19799
40522,16794
41149,15890
41355,15395
41472,14836
43327,3912
43341,3322
43156,2641
42502,1442
42136,918
41724,520
41271,213
40779,0
36754,870
36046,1152
28942,4561
28292,4997
27883,5404
26944,6769
25083,11140
24764,12161
24413,13777
22725,17770
22291,18763
19727,21180
13083,25748
8560,27800
7349,28446
6841,28814
544,34464
236,34925
16,35418
0,36005
1547,41474
1728,41723
2185,42037
2765,42042
