5511,5341
4080,494
3890,0
2837,91
1846,616
1404,1017
623,1973
53,3330
31,3916
199,4997
975,9289
2448,14970
3249,16452
5129,20929
5361,22102
5462,22750
5530,23645
5233,26608
5128,27225
5022,27812
4238,30404
3835,30867
3369,31176
1823,31607
870,32193
509,32594
127,33273
0,33889
83,34414
274,34909
1797,38645
2263,39108
4128,39819
4616,39635
5083,39326
11566,33551
11947,33150
12327,32470
12560,31822
12665,31204
12579,30155
12430,29600
12239,29075
11837,28644
10756,27903
9529,27503
8302,27441
7032,26763
6630,26330
6355,25837
6133,22880
6399,21257
6888,19570
6888,18726
5422,18271
4578,17881
3820,16699
3905,16175
4475,16020
7348,15990
7622,16483
7706,17008
7981,17472
8488,17286
8932,16915
9333,16421
9671,15835
11483,11295
11546,10770
11314,10215
10532,9352
8274,7315
