95507,108803
96347,108650
99908,107637
100595,107360
113738,101167
121381,97491
121990,97090
124674,92926
124851,92587
124825,92125
124366,91140
124665,88244
124890,86826
125066,85933
125570,84299
125898,83559
127011,82078
127516,81553
128428,80965
129137,80687
130962,80065
131393,80003
136236,80142
138722,80410
140929,80895
142378,81598
142786,82182
144034,83470
145001,84113
145483,84111
145837,83986
147128,83272
147406,83055
148416,82003
148667,81540
149020,81045
149955,80455
151424,79986
153830,79481
155755,79101
159837,79232
160244,79383
161035,80118
163603,81242
164010,81393
165481,81476
165833,80981
165081,78429
164901,78091
163979,76557
162802,74716
161064,72417
160604,71864
155411,67273
148865,59143
148788,58835
148644,55108
148786,53136
149126,50208
149550,49004
150525,46812
152253,43846
152955,42980
153836,42359
168489,32502
178000,26362
181089,25011
183021,23947
192560,17390
209016,5198
210846,369
210816,0
210040,194
207809,806
207133,1090
192716,7559
190088,8910
189162,9473
188491,10342
187972,11425
185947,12984
183968,13987
154822,28675
145886,32016
144298,32392
140088,32717
137161,32512
135522,32795
134817,33075
131542,34779
126060,37881
124157,38310
110125,40668
109292,40792
105607,40793
101769,40761
100330,40730
98967,40543
91471,39487
67023,36550
61224,33368
59637,33448
59761,37322
61223,40743
60546,47824
59130,54874
58745,56135
58209,57148
57750,57731
57191,58222
55997,59047
53764,60328
52064,61088
51228,61237
50318,61047
49233,60547
45703,58799
41364,56890
35783,55801
34947,55918
32287,56451
27113,58102
26029,57600
25625,57566
23142,60778
22552,61728
21258,64674
20717,65716
20306,66328
17413,69598
15422,71149
14454,71694
13716,71933
11685,72312
9935,72479
9480,72382
9076,72254
7716,71500
6560,70594
5231,69347
3953,68070
3253,67261
2682,66330
2104,65861
1194,65789
581,66183
138,67318
0,68302
85,69628
416,71696
609,72469
4735,86657
6206,91418
6452,92161
11940,104326
12243,104544
18028,108576
19925,109795
33598,114903
34791,115312
38778,116605
40202,116831
42599,116324
43007,116235
43671,115900
44541,115259
45281,115017
50964,113883
53559,114052
57182,115697
58915,118171
61079,122054
61062,125575
64707,124536
69217,125611
67048,121905
67065,117857
69182,115051
71914,112690
72552,112353
76067,110917
77163,110551
78690,110217
80471,110129
86347,110483
91392,109371
